IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.17.131.247,8443,8443,true,DX,Asia Pacific,Tokyo,199.36,10.11
104.16.213.196,8443,8443,true,DX,Asia Pacific,Tokyo,200.04,10.11
104.16.116.46,8443,8443,true,DX,Asia Pacific,Tokyo,200.49,10.11
104.18.119.253,8443,8443,true,DX,Asia Pacific,Tokyo,200.56,10.11
104.17.133.152,8443,8443,true,DX,Asia Pacific,Tokyo,200.77,10.11
104.16.223.185,8443,8443,true,DX,Asia Pacific,Tokyo,200.81,10.11
162.159.246.128,8443,8443,true,DX,Asia Pacific,Tokyo,201.64,10.11
104.16.125.95,8443,8443,true,DX,Asia Pacific,Tokyo,201.68,10.11
104.16.40.57,8443,8443,true,DX,Asia Pacific,Tokyo,203.09,10.11
104.16.215.192,8443,8443,true,DX,Asia Pacific,Tokyo,203.13,10.11
104.18.48.233,8443,8443,true,DX,Asia Pacific,Tokyo,203.67,10.11
104.16.35.152,8443,8443,true,DX,Asia Pacific,Tokyo,204.25,10.11
104.17.134.229,8443,8443,true,DX,Asia Pacific,Tokyo,204.51,10.11
104.16.44.15,8443,8443,true,DX,Asia Pacific,Tokyo,204.70,10.11
104.16.38.247,8443,8443,true,DX,Asia Pacific,Tokyo,205.03,10.11
104.16.113.82,8443,8443,true,DX,Asia Pacific,Tokyo,205.15,10.11
104.16.37.125,8443,8443,true,DX,Asia Pacific,Tokyo,206.13,10.11
104.17.129.26,8443,8443,true,DX,Asia Pacific,Tokyo,206.40,10.11
104.17.66.149,8443,8443,true,DX,Asia Pacific,Tokyo,207.89,10.11
104.16.209.172,8443,8443,true,DX,Asia Pacific,Tokyo,207.99,10.11
104.16.220.158,8443,8443,true,DX,Asia Pacific,Tokyo,209.73,10.11
104.16.33.47,8443,8443,true,DX,Asia Pacific,Tokyo,210.22,10.11
104.17.136.250,8443,8443,true,DX,Asia Pacific,Tokyo,211.18,10.11
162.159.43.31,8443,8443,true,DX,Asia Pacific,Tokyo,240.39,10.11
162.159.35.19,8443,8443,true,DX,Asia Pacific,Tokyo,243.35,10.11
